證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
1101,台泥,15683130,"5,835",632763015,41.15,41.20,40.10,40.30,-,0.75,40.25,14,40.30,210,11.68,
1102,亞泥,12159294,"5,115",490585181,41.40,41.40,40.05,40.15,-,1.25,40.10,132,40.15,2,13.70,
1103,嘉泥,478217,200,6570982,14.00,14.00,13.65,13.75,-,0.2,13.70,2,13.75,4,6.34,
1104,環泥,109454,59,2215542,20.35,20.35,20.20,20.30,-,0.05,20.25,7,20.30,15,11.60,
1108,幸福,101000,29,797190,7.92,7.93,7.85,7.90,,0.0,7.90,27,7.91,10,0.00,
1109,信大,344438,124,5341826,15.80,15.80,15.35,15.35,-,0.2,15.35,2,15.40,20,9.53,
1110,東泥,3000,3,41650,13.85,13.90,13.85,13.90,-,0.1,13.80,7,13.90,8,63.18,
1201,味全,1270546,467,28147963,22.30,22.30,22.05,22.10,-,0.3,22.05,34,22.10,49,16.49,
1203,味王,16512,24,420899,25.40,25.60,25.40,25.55,-,0.15,25.50,2,25.75,2,13.66,
1210,大成,593725,448,22237826,37.75,37.75,37.30,37.35,-,0.4,37.35,15,37.40,14,10.32,
1213,大飲,23001,12,287562,12.55,12.55,12.50,12.50,,0.0,12.50,1,12.55,1,156.25,
1215,卜蜂,271134,215,13906721,51.70,51.70,51.10,51.30,-,0.4,51.30,2,51.40,1,12.48,
1216,統一,5540960,"3,005",429963571,78.50,78.60,77.10,77.50,-,1.4,77.40,47,77.50,7,10.88,
1217,愛之味,335336,128,2546223,7.64,7.64,7.57,7.58,-,0.02,7.57,4,7.58,24,18.95,
1218,泰山,6317430,"1,710",117237848,18.55,18.80,18.35,18.35,-,0.15,18.30,228,18.35,218,16.68,
1219,福壽,15664,15,290233,18.60,18.60,18.50,18.50,-,0.15,18.50,4,18.55,7,30.83,
1220,台榮,27000,11,320200,11.85,11.90,11.85,11.85,,0.0,11.85,25,11.90,14,20.43,
1225,福懋油,25880,29,2210873,85.20,86.70,84.80,85.80,X,0.0,85.00,1,85.90,2,74.61,
1227,佳格,1936926,"1,333",96753158,50.80,50.80,49.50,49.95,-,0.85,49.90,2,49.95,1,18.43,
1229,聯華,984574,619,34615030,35.45,35.45,35.10,35.10,-,0.35,35.10,18,35.20,3,10.87,
1231,聯華食,69180,74,2496896,36.20,36.20,36.05,36.15,+,0.1,36.10,1,36.20,22,12.38,
1232,大統益,18490,25,1860490,100.00,101.00,100.00,100.50,,0.0,100.00,17,100.50,2,18.37,
1233,天仁,35000,17,1360150,39.00,39.00,38.75,38.85,,0.0,38.85,2,38.90,12,19.14,
1234,黑松,41002,36,1269162,31.00,31.05,30.90,30.90,,0.0,30.90,4,30.95,1,18.50,
1235,興泰,696304,20,31178203,42.00,42.00,41.30,41.55,-,0.45,41.55,4,41.60,5,10.52,
1236,宏亞,6000,6,95450,15.90,15.95,15.90,15.95,-,0.05,15.90,13,16.00,13,61.35,
1256,鮮活果汁-KY,7200,9,1141300,158.00,159.00,157.50,159.00,,0.0,158.00,4,159.50,1,13.23,
1262,綠悅-KY,2802910,"1,308",105692756,37.80,38.65,36.65,36.80,-,1.1,36.80,28,36.85,14,0.00,
1301,台塑,9376060,"5,192",1087715915,117.50,118.00,115.00,115.00,-,2.5,115.00,618,115.50,82,12.45,
1303,南亞,5334469,"2,726",448212074,85.00,85.00,83.80,84.00,-,1.0,83.90,51,84.00,820,10.29,
1304,台聚,687039,216,9665542,14.20,14.20,14.00,14.00,-,0.1,14.00,126,14.05,158,13.21,
1305,華夏,5504000,"2,249",141285638,25.60,25.85,25.50,25.50,+,0.1,25.45,299,25.50,225,8.02,
1307,三芳,71685,62,1943183,27.35,27.35,26.90,27.00,-,0.35,27.00,10,27.35,2,22.50,
1308,亞聚,139902,76,2304970,16.65,16.65,16.40,16.50,,0.0,16.40,25,16.50,22,21.15,
1309,台達化,1348747,487,19827388,14.70,14.85,14.60,14.70,+,0.1,14.70,13,14.75,85,5.61,
1310,台苯,11020051,"4,296",269292624,24.35,24.85,24.15,24.30,+,0.1,24.30,30,24.35,100,10.21,
1312,國喬,3295407,"1,389",99570332,30.10,30.50,29.90,29.95,-,0.2,29.95,36,30.00,6,6.78,
1312A,國喬特,11000,7,398150,36.10,36.45,36.10,36.45,-,0.15,36.10,2,36.45,1,0.00,
1313,聯成,997130,419,15232922,15.30,15.35,15.20,15.25,,0.0,15.25,101,15.30,106,7.55,
1314,中石化,13985031,"2,810",196565684,14.05,14.15,13.95,14.10,+,0.1,14.05,76,14.10,"1,388",9.28,
1315,達新,3036,2,80454,26.50,26.50,26.50,26.50,-,0.1,26.30,21,26.50,1,33.97,
1316,上曜,671336,247,12125614,18.25,18.25,17.95,18.05,-,0.15,18.05,28,18.10,3,3.19,
1319,東陽,353450,262,14963524,42.50,42.55,42.20,42.20,-,0.3,42.15,7,42.50,14,10.71,
1321,大洋,13000,9,360900,27.90,27.90,27.60,27.75,+,0.2,27.60,14,27.75,1,0.00,
1323,永裕,106840,65,3774492,35.35,35.80,35.20,35.35,,0.0,35.30,6,35.35,28,10.88,
1324,地球,231002,99,2886924,12.30,12.65,12.30,12.40,+,0.1,12.40,3,12.55,5,0.00,
1325,恆大,46620,31,816469,17.60,17.60,17.45,17.45,-,0.3,17.45,6,17.50,5,23.90,
1326,台化,9040788,"3,063",1153183463,128.50,129.50,127.00,127.00,-,1.5,127.00,13,127.50,266,12.05,
1337,再生-KY,480026,182,3888533,8.18,8.18,8.04,8.07,-,0.1,8.07,8,8.09,2,0.00,
1338,廣華-KY,508002,337,44098274,86.50,87.40,86.20,86.80,+,0.3,86.80,1,87.00,8,9.67,
1339,昭輝,94002,55,3772434,40.40,40.45,40.00,40.05,-,0.35,40.00,1,40.25,1,6.79,
1340,勝悅-KY,210856,207,6014034,28.90,28.90,28.30,28.30,-,0.2,28.30,22,28.35,3,5.32,
1402,遠東新,11118110,"5,577",390115214,34.80,35.45,34.50,35.40,+,0.6,35.30,10,35.40,416,15.00,
1409,新纖,1764892,869,22114299,12.70,12.75,12.45,12.50,-,0.2,12.50,7,12.55,103,11.57,
1410,南染,88555,53,2172128,24.55,24.75,24.35,24.50,,0.0,24.40,6,24.50,5,17.63,
1413,宏洲,214307,81,2804741,13.15,13.25,12.95,12.95,-,0.25,12.95,12,13.05,1,7.57,
1414,東和,217670,92,1683561,7.80,7.80,7.70,7.74,+,0.03,7.73,6,7.74,7,16.83,
1416,廣豐,68708,34,1068424,15.60,15.65,15.45,15.50,-,0.1,15.45,13,15.60,8,36.05,
1417,嘉裕,503402,117,2526900,5.07,5.07,4.99,5.05,-,0.01,5.02,10,5.06,30,0.00,
1418,東華,13,2,95,--,--,--,--,,0.0,8.00,5,8.41,1,0.00,
1419,新紡,124464,19,5426108,43.55,44.50,43.50,44.45,+,0.95,44.00,2,44.45,1,10.19,
1423,利華,258302,116,2724942,10.65,10.65,10.50,10.55,+,0.05,10.50,38,10.60,32,25.73,
1432,大魯閣,3319,7,29336,8.83,8.85,8.83,8.85,-,0.02,8.84,1,8.85,7,0.00,
1434,福懋,1798764,"1,054",65100474,36.75,36.75,35.80,36.15,-,0.65,36.15,11,36.20,6,22.31,
1435,中福,62020,23,342209,5.55,5.59,5.43,5.50,,0.0,5.45,10,5.50,4,137.50,
1436,華友聯,31028,19,1163588,37.50,37.75,37.25,37.45,+,0.05,37.15,2,37.50,1,9.00,
1437,勤益控,186438,89,3603310,19.60,19.60,19.20,19.20,-,0.3,19.20,16,19.25,3,13.52,
1438,裕豐,29603,12,225682,7.50,7.65,7.50,7.50,-,0.05,7.51,1,7.68,1,0.00,
1439,中和,335000,191,10265800,30.75,30.85,30.50,30.50,-,0.15,30.50,23,30.55,2,0.00,
1440,南紡,760617,244,10118150,13.40,13.40,13.25,13.35,-,0.05,13.35,4,13.40,131,20.23,
1441,大東,266360,93,3545180,13.05,13.50,13.05,13.10,+,0.1,13.10,4,13.15,3,1.08,
1442,名軒,153279,82,2581465,16.90,16.95,16.80,16.80,-,0.1,16.75,32,16.80,1,18.06,
1443,立益,16106,8,112331,6.96,6.98,6.96,6.97,+,0.01,6.96,9,7.02,1,0.00,
1444,力麗,2162385,514,23842911,11.10,11.15,10.95,11.00,-,0.1,11.00,23,11.05,82,22.92,
1445,大宇,460012,66,3686915,7.93,8.03,7.90,7.99,+,0.01,7.93,1,7.99,4,0.00,
1446,宏和,457039,217,12533263,27.85,27.90,27.10,27.20,-,0.65,27.20,2,27.25,2,0.00,
1447,力鵬,1533593,525,14287661,9.40,9.40,9.28,9.32,+,0.01,9.30,60,9.32,3,14.79,
1449,佳和,45000,18,214460,4.76,4.86,4.75,4.80,+,0.05,4.78,3,4.83,1,0.00,
1451,年興,81375,71,1983323,24.30,24.50,24.30,24.30,,0.0,24.30,33,24.40,8,14.82,
1452,宏益,129250,74,2467524,19.20,19.20,19.00,19.15,-,0.1,19.10,2,19.15,11,13.30,
1453,大將,21056,14,187782,8.90,8.98,8.89,8.98,+,0.05,8.91,2,8.98,3,2.36,
1454,台富,36616,12,292151,8.00,8.00,7.97,8.00,-,0.02,7.97,11,8.00,5,33.33,
1455,集盛,1515851,355,15835575,10.55,10.55,10.40,10.45,-,0.1,10.40,224,10.45,44,10.56,
1456,怡華,74,1,614,--,--,--,--,,0.0,8.18,2,8.51,1,43.53,
1457,宜進,931924,390,12854901,13.85,13.90,13.75,13.75,-,0.05,13.75,82,13.80,43,3.23,
1459,聯發,524986,247,5098323,9.81,9.87,9.61,9.61,-,0.19,9.61,19,9.62,1,10.56,
1460,宏遠,713370,361,10227546,14.35,14.50,14.25,14.40,+,0.05,14.40,6,14.45,74,26.67,
1463,強盛,149000,77,2299800,15.55,15.55,15.35,15.40,-,0.1,15.40,2,15.45,11,7.00,
1464,得力,107713,87,2383537,22.15,22.20,22.10,22.15,-,0.05,22.10,78,22.15,3,24.61,
1465,偉全,20000,12,291750,14.70,14.70,14.50,14.60,-,0.2,14.60,1,14.80,1,208.57,
1466,聚隆,35000,12,387300,11.10,11.10,11.00,11.00,-,0.1,11.00,1,11.15,1,0.00,
1467,南緯,221000,82,2369000,10.65,10.80,10.65,10.70,+,0.05,10.70,53,10.75,9,0.00,
1468,昶和,25020,13,278816,11.15,11.25,11.10,11.10,-,0.05,10.90,7,11.10,2,0.00,
1470,大統新創,10000,9,181950,18.05,18.45,18.00,18.10,-,1.4,18.00,3,18.40,1,43.10,
1471,首利,441783,147,2591988,6.01,6.01,5.81,5.83,-,0.26,5.83,2,5.88,4,0.00,
1472,三洋紡,16675,16,467347,28.15,28.30,27.80,28.30,-,0.2,27.65,5,28.35,1,0.00,
1473,台南,83502,48,1643838,19.70,19.75,19.65,19.70,-,0.1,19.65,24,19.70,2,0.00,
1474,弘裕,45000,16,500050,11.15,11.15,11.10,11.10,,0.0,11.10,5,11.15,24,11.10,
1475,本盟,3219,6,36109,11.40,11.40,11.05,11.25,+,0.15,10.95,1,11.20,1,0.00,
