author,date,href,push,title
orzisme, 2/28,/bbs/movie/M.1551333069.A.8C3.html,15,[情報]X戰警:黑鳳凰第二支預告出爐! 
applypig, 2/28,/bbs/movie/M.1551335914.A.1DA.html,1,[好無雷] 酷寒殺手
cake51640, 2/28,/bbs/movie/M.1551336039.A.E20.html,5,[問片] 一部黑人電影
Fortz, 2/28,/bbs/movie/M.1551336128.A.FBA.html,1,[好雷] 證人     
MyAll, 2/28,/bbs/movie/M.1551338073.A.E49.html,"(None,)",[影評] 聞天祥評 / 不敢跟你講 與 跑道終點
liu2007, 2/28,/bbs/movie/M.1551338445.A.268.html,"(None,)",[討論] 各位覺得鳳凰跟和驚奇隊長誰比較好看?
quentintu, 2/28,/bbs/movie/M.1551338742.A.85B.html,1,[好雷]《祝你忌日快樂》　不炒冷飯的優秀續集 
mysmalllamb, 2/28,/bbs/movie/M.1551339712.A.3DD.html,"(None,)",[好雷] 嬰魂不散 The Hole in the Ground
pipiboygay, 2/28,/bbs/movie/M.1551345375.A.B08.html,"(None,)",[討論] 剛回顧西雅圖夜未眠.好懷念梅格萊恩呀..
VOT1077, 8/28,/bbs/movie/M.1535458622.A.135.html,8,[版規] 電影版版規 201808
VOT1077, 1/27,/bbs/movie/M.1548573736.A.DD4.html,1,[公告] 板規修訂 暨 版務報告 20190127
VOT1077, 2/25,/bbs/movie/M.1551047814.A.86B.html,"(None,)",[公告] 2019 奧斯卡 黑特區
qpr322, 2/25,/bbs/movie/M.1551068094.A.A52.html,71,[情報] 2019 奧斯卡金像獎 得獎名單
rsps1008, 2/28,/bbs/movie/M.1551293160.A.C55.html,2,[好雷] 證人 - 每個人都是特別的
b174040406, 2/28,/bbs/movie/M.1551299176.A.167.html,2,[負雷] 酷寒殺手
Marchosias, 2/28,/bbs/movie/M.1551307474.A.178.html,51,[討論] 哪種類型電影的影迷最難取悅?
saiiys, 2/28,/bbs/movie/M.1551311015.A.492.html,7,Re: [好無雷] 七龍珠4DX，椅子要壞了
tony887, 2/28,/bbs/movie/M.1551311664.A.C93.html,4,[問片] 祝你忌日快樂 萊恩問題(雷)
qpilipalaq, 2/28,/bbs/movie/M.1551314739.A.56A.html,1,[請益] 鬼精靈 Grinch
hebeshaman, 2/28,/bbs/movie/M.1551315846.A.1FA.html,9,[討論] 屍憶女鬼角色請問(雷)
pttpu, 2/28,/bbs/movie/M.1551318620.A.E35.html,4,Re: [討論] 淺談新舊版布羅利電影的比較
tsukiato, 2/28,/bbs/movie/M.1551320378.A.F00.html,21,[片單] 想找和太空或科幻有關的動畫
-, 2/28,"(None,)","(None,)","(None,)"
rexchen40515, 2/28,/bbs/movie/M.1551322931.A.CC0.html,24,[負雷]惡魔島 節奏緩慢不有趣的越獄 
-, 2/28,"(None,)","(None,)","(None,)"
-, 2/28,"(None,)","(None,)","(None,)"
curtis4127, 2/28,/bbs/movie/M.1551329719.A.99D.html,1,[問片] 找一韓國電影
shengchiu303, 2/28,/bbs/movie/M.1551330176.A.F56.html,12,[新聞] 《水行俠2》定檔&《自殺突擊隊2》消息
hanm1234, 2/28,/bbs/movie/M.1551330281.A.533.html,5,[極大負雷] 酷寒殺手 
a122239, 2/28,/bbs/movie/M.1551330744.A.26F.html,"(None,)",[普好雷] 《恭喜八婆》，莫把誤解當做正解。
