證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
1101,台泥,17253431,"5,195",660458397,38.25,38.50,38.20,38.20,-,0.25,38.20,637,38.25,26,10.49,
1101B,台泥乙特,268574,55,13802843,51.30,51.50,51.30,51.50,+,0.1,51.40,104,51.50,85,0.00,
1102,亞泥,13671823,"6,056",528185327,37.95,38.90,37.95,38.60,+,0.75,38.60,98,38.65,2,11.80,
1103,嘉泥,1045700,309,14603269,14.10,14.10,13.90,13.90,-,0.15,13.90,86,14.00,39,4.91,
1104,環泥,222310,94,4297545,19.40,19.45,19.30,19.40,,0.0,19.35,13,19.40,11,11.09,
1108,幸福,83000,27,613270,7.39,7.39,7.34,7.39,,0.0,7.34,3,7.42,20,0.00,
1109,信大,84170,31,1177956,14.10,14.10,13.95,14.00,+,0.1,13.95,1,14.00,24,6.60,
1110,東泥,56798,18,923827,16.40,16.40,16.20,16.30,-,0.1,16.20,2,16.30,6,65.20,
1201,味全,769100,401,16936059,22.10,22.15,21.90,21.90,-,0.15,21.85,60,21.90,4,6.93,
1203,味王,21250,40,554300,26.05,26.15,26.05,26.15,+,0.1,26.10,1,26.15,4,14.45,
1210,大成,771599,598,26832612,34.90,35.00,34.70,34.70,-,0.15,34.70,16,34.80,12,11.23,
1213,大飲,60204,49,656629,10.90,11.10,10.85,10.85,-,0.15,10.85,6,10.90,2,0.00,
1215,卜蜂,521187,388,28152448,54.40,54.90,53.80,53.90,-,0.1,53.90,10,54.00,21,14.11,
1216,統一,4341730,"2,052",322938862,73.90,74.80,73.90,74.50,+,0.1,74.40,505,74.50,26,10.64,
1217,愛之味,545979,206,3880173,7.09,7.12,7.08,7.12,+,0.03,7.11,5,7.13,32,17.80,
1218,泰山,669928,269,12114704,18.10,18.25,18.00,18.00,-,0.05,18.00,117,18.05,4,19.78,
1219,福壽,20003,13,369704,18.50,18.50,18.45,18.45,-,0.05,18.35,15,18.45,3,108.53,
1220,台榮,53013,32,578691,10.85,11.00,10.85,10.85,-,0.1,10.85,17,10.90,2,22.60,
1225,福懋油,9436,13,664931,71.00,71.00,70.20,70.20,-,0.5,70.20,1,70.60,4,86.67,
1227,佳格,1668456,"1,150",86046415,50.80,52.00,50.70,51.60,+,0.8,51.50,123,51.70,3,16.49,
1229,聯華,1778021,"1,163",55947755,31.70,31.80,31.35,31.40,-,0.3,31.35,144,31.45,6,12.66,
1231,聯華食,303502,278,12466066,42.00,42.00,40.85,41.00,-,0.85,41.00,17,41.05,6,13.67,
1232,大統益,120085,76,12025239,100.50,100.50,99.80,100.00,,0.0,99.90,5,100.00,3,19.16,
1233,天仁,24014,24,932424,38.80,38.90,38.75,38.85,+,0.05,38.85,3,38.90,6,19.23,
1234,黑松,131561,68,4103294,31.20,31.20,31.05,31.20,+,0.1,31.20,3,31.25,4,18.80,
1235,興泰,114913,34,3269287,28.35,28.60,28.35,28.50,,0.0,28.50,1,28.55,11,10.59,
1236,宏亞,42452,25,589878,13.80,13.95,13.80,13.90,+,0.1,13.90,1,13.95,1,0.00,
1256,鮮活果汁-KY,23440,25,3832220,163.50,163.50,163.50,163.50,,0.0,163.50,3,164.00,5,12.22,
1262,綠悅-KY,265000,159,9990300,37.90,38.10,37.50,37.55,-,0.25,37.55,3,37.65,2,0.00,
1301,台塑,8956977,"3,248",922507631,103.50,103.50,102.50,103.00,-,0.5,103.00,462,103.50,693,10.91,
1303,南亞,6898983,"3,080",528282972,76.60,77.10,76.10,77.10,+,0.5,77.00,11,77.10,174,9.21,
1304,台聚,1021051,402,12637116,12.30,12.45,12.30,12.35,+,0.05,12.35,10,12.40,11,15.25,
1305,華夏,2140232,841,50434303,23.60,23.70,23.50,23.55,-,0.05,23.55,67,23.60,75,7.80,
1307,三芳,96745,52,2502941,25.65,25.95,25.65,25.80,+,0.15,25.80,4,25.90,25,29.66,
1308,亞聚,382988,189,5571414,14.50,14.60,14.50,14.60,+,0.1,14.55,127,14.60,3,22.81,
1309,台達化,835903,326,8665794,10.30,10.45,10.25,10.35,+,0.05,10.35,32,10.40,34,5.42,
1310,台苯,2111464,815,51643237,24.45,24.60,24.35,24.45,,0.0,24.40,12,24.45,27,9.90,
1312,國喬,5634650,"2,092",136222400,24.35,24.50,24.00,24.00,-,0.2,24.00,209,24.05,11,5.83,
1312A,國喬特,29000,2,1043950,35.95,36.00,35.95,36.00,+,0.2,35.75,1,36.00,1,0.00,
1313,聯成,853374,366,11114162,13.00,13.10,12.95,13.00,+,0.05,13.00,145,13.05,59,11.93,
1314,中石化,10784595,"2,618",118942868,11.10,11.20,10.95,10.95,-,0.1,10.95,502,11.00,202,5.76,
1315,達新,507884,162,15236520,30.00,30.00,30.00,30.00,+,2.7,30.00,269,--,0,22.22,
1316,上曜,1455008,672,19556199,13.40,13.70,13.30,13.30,+,0.05,13.30,15,13.35,19,2.41,
1319,東陽,1321519,931,51068581,39.20,39.20,38.35,38.65,-,0.2,38.60,12,38.65,2,10.89,
1321,大洋,153000,50,3980950,26.10,26.10,25.90,26.00,-,0.1,26.00,1,26.05,6,0.00,
1323,永裕,499053,168,18384555,36.80,37.20,36.70,37.20,+,0.5,36.90,1,37.20,2,11.10,
1324,地球,12007,15,131427,11.00,11.00,10.90,10.95,-,0.05,10.90,27,11.00,5,182.50,
1325,恆大,33000,20,541400,16.40,16.45,16.40,16.40,,0.0,16.40,12,16.45,11,23.10,
1326,台化,6633294,"2,505",703688664,107.00,107.00,105.50,106.00,-,1.0,106.00,30,106.50,74,9.79,
1337,再生-KY,535216,248,3949763,7.38,7.43,7.35,7.35,,0.0,7.35,4,7.36,9,0.00,
1338,廣華-KY,167245,167,13359700,79.90,80.00,79.60,79.70,+,0.2,79.60,5,79.70,1,10.11,
1339,昭輝,119000,69,4191350,35.25,35.35,35.05,35.30,+,0.2,35.25,5,35.30,4,7.02,
1340,勝悅-KY,701623,507,13451508,19.55,19.65,18.80,18.95,-,0.6,18.95,7,19.00,10,6.25,
1341,富林-KY,10000,10,467500,46.80,46.80,46.30,46.80,,0.0,46.40,1,46.85,2,8.04,
1402,遠東新,6965446,"2,528",217696033,31.50,31.60,30.85,31.25,-,0.25,31.25,183,31.35,1,13.41,
