<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	09:00:00	1.05170	1.05234	1.05119	1.05153	2177	1328977000	43
2017.01.02	10:00:00	1.05153	1.05178	1.04862	1.04886	5670	3757634000	26
2017.01.02	11:00:00	1.04888	1.04920	1.04763	1.04862	7928	6404841000	18
2017.01.02	12:00:00	1.04864	1.04890	1.04777	1.04806	7928	6584669000	16
2017.01.02	13:00:00	1.04805	1.04813	1.04758	1.04783	2323	1660586000	14
2017.01.02	14:00:00	1.04783	1.04783	1.04644	1.04656	3139	1596128000	25
2017.01.02	15:00:00	1.04656	1.04687	1.04608	1.04654	4881	2982047000	30
2017.01.02	16:00:00	1.04654	1.04756	1.04638	1.04727	5056	4113717000	18
2017.01.02	17:00:00	1.04727	1.04736	1.04632	1.04694	7979	8710894000	42
2017.01.02	18:00:00	1.04687	1.04774	1.04656	1.04689	1410	1245402000	41
2017.01.02	19:00:00	1.04689	1.04690	1.04539	1.04653	927	822581000	38
2017.01.02	20:00:00	1.04651	1.04670	1.04595	1.04597	5481	5406192000	34
2017.01.02	21:00:00	1.04602	1.04642	1.04571	1.04589	2522	2620528000	47
2017.01.02	22:00:00	1.04588	1.04600	1.04501	1.04587	4002	3922885000	37
2017.01.02	23:00:00	1.04581	1.04585	1.04480	1.04530	6885	7039062000	45
2017.01.03	00:00:00	1.04523	1.04706	1.04521	1.04619	1134	811964000	81
2017.01.03	01:00:00	1.04621	1.04707	1.04556	1.04573	7701	7658277000	19
2017.01.03	02:00:00	1.04570	1.04708	1.04569	1.04658	5065	5416477000	12
2017.01.03	03:00:00	1.04658	1.04803	1.04640	1.04755	4634	4463816000	10
2017.01.03	04:00:00	1.04755	1.04777	1.04704	1.04715	3109	2675022000	11
2017.01.03	05:00:00	1.04716	1.04843	1.04709	1.04843	3336	3259765000	10
2017.01.03	06:00:00	1.04842	1.04895	1.04814	1.04879	2445	2485460000	10
2017.01.03	07:00:00	1.04879	1.04898	1.04810	1.04818	2464	2205900000	10
2017.01.03	08:00:00	1.04818	1.04888	1.04807	1.04878	3231	3678921000	9
2017.01.03	09:00:00	1.04878	1.04886	1.04531	1.04597	7142	6565133000	8
2017.01.03	10:00:00	1.04597	1.04655	1.04201	1.04347	8863	7170507000	7
2017.01.03	11:00:00	1.04348	1.04359	1.03998	1.04014	8645	7266275000	8
2017.01.03	12:00:00	1.04014	1.04161	1.03955	1.03961	6840	5813807000	9
2017.01.03	13:00:00	1.03962	1.03992	1.03809	1.03938	7257	6282088000	9
2017.01.03	14:00:00	1.03937	1.03940	1.03747	1.03885	7455	6220247000	8
2017.01.03	15:00:00	1.03885	1.03915	1.03815	1.03910	6519	5529770000	8
2017.01.03	16:00:00	1.03911	1.04076	1.03844	1.03879	7549	6508969000	8
2017.01.03	17:00:00	1.03876	1.03892	1.03399	1.03840	13770	11758875000	8
2017.01.03	18:00:00	1.03844	1.04336	1.03781	1.04149	12226	10216382000	7
2017.01.03	19:00:00	1.04149	1.04280	1.04096	1.04266	4961	4733450000	9
2017.01.03	20:00:00	1.04266	1.04314	1.04130	1.04146	4358	3913529000	8
2017.01.03	21:00:00	1.04143	1.04146	1.04050	1.04105	3761	3616164000	9
2017.01.03	22:00:00	1.04102	1.04168	1.04016	1.04019	4073	3546313000	9
2017.01.03	23:00:00	1.04017	1.04066	1.04012	1.04031	2660	2750924000	10
2017.01.04	00:00:00	1.04044	1.04120	1.03977	1.04088	1298	593124000	29
2017.01.04	01:00:00	1.04094	1.04237	1.04085	1.04171	6631	4962408000	14
2017.01.04	02:00:00	1.04171	1.04175	1.03918	1.03940	5886	4153290000	10
2017.01.04	03:00:00	1.03941	1.04017	1.03895	1.03931	5569	4393365000	9
2017.01.04	04:00:00	1.03930	1.04059	1.03928	1.04051	4556	4143036000	10
2017.01.04	05:00:00	1.04051	1.04078	1.03973	1.04050	3821	3477652000	10
2017.01.04	06:00:00	1.04050	1.04091	1.04021	1.04021	3569	3937672000	9
2017.01.04	07:00:00	1.04021	1.04089	1.04013	1.04063	2822	2791964000	10
2017.01.04	08:00:00	1.04062	1.04142	1.03989	1.04058	3878	3784522000	9
2017.01.04	09:00:00	1.04059	1.04210	1.04053	1.04169	6387	5925173000	9
2017.01.04	10:00:00	1.04170	1.04400	1.04149	1.04333	8470	7867516000	8
2017.01.04	11:00:00	1.04332	1.04451	1.04278	1.04375	7053	5884686000	9
2017.01.04	12:00:00	1.04374	1.04434	1.04269	1.04322	6876	5908804000	9
2017.01.04	13:00:00	1.04321	1.04448	1.04271	1.04311	6746	5157454000	9
2017.01.04	14:00:00	1.04310	1.04410	1.04230	1.04333	6943	5693299000	8
2017.01.04	15:00:00	1.04336	1.04459	1.04275	1.04387	7113	5920131000	8
2017.01.04	16:00:00	1.04389	1.04635	1.04362	1.04617	9082	7526482000	8
2017.01.04	17:00:00	1.04622	1.04807	1.04531	1.04758	8907	7104491000	8
2017.01.04	18:00:00	1.04758	1.04911	1.04711	1.04749	7057	5892140000	8
2017.01.04	19:00:00	1.04749	1.04835	1.04689	1.04714	3984	3605370000	8
2017.01.04	20:00:00	1.04714	1.04820	1.04672	1.04773	3219	3212330000	9
2017.01.04	21:00:00	1.04773	1.04996	1.04514	1.04658	9846	9732095000	9
2017.01.04	22:00:00	1.04655	1.04867	1.04634	1.04859	5102	5262986000	9
2017.01.04	23:00:00	1.04855	1.04949	1.04803	1.04883	3734	3561554000	11
2017.01.05	00:00:00	1.04867	1.04905	1.04812	1.04860	1809	778997000	23
2017.01.05	01:00:00	1.04859	1.05009	1.04804	1.04966	3107	1917374000	13
2017.01.05	02:00:00	1.04965	1.05399	1.04959	1.05399	9133	5777284000	10
2017.01.05	03:00:00	1.05399	1.05404	1.05095	1.05191	7158	5738988000	10
2017.01.05	04:00:00	1.05190	1.05283	1.05109	1.05145	5530	4627285000	10
2017.01.05	05:00:00	1.05145	1.05270	1.05134	1.05200	5507	5081410000	10
2017.01.05	06:00:00	1.05201	1.05283	1.05172	1.05260	4099	4130827000	11
2017.01.05	07:00:00	1.05258	1.05631	1.05233	1.05411	6883	5343713000	10
2017.01.05	08:00:00	1.05411	1.05744	1.05401	1.05661	7289	6081516000	11
2017.01.05	09:00:00	1.05660	1.05682	1.05426	1.05592	9189	7498110000	9
2017.01.05	10:00:00	1.05592	1.05699	1.05045	1.05147	11569	10017681000	8
2017.01.05	11:00:00	1.05148	1.05233	1.05012	1.05044	8597	6996882000	9
2017.01.05	12:00:00	1.05043	1.05132	1.04871	1.04882	7146	6492858000	9
2017.01.05	13:00:00	1.04883	1.05007	1.04820	1.04932	6711	5993129000	9
2017.01.05	14:00:00	1.04932	1.05179	1.04914	1.05010	7066	5834807000	8
2017.01.05	15:00:00	1.05009	1.05423	1.04931	1.05302	11836	9792727000	9
2017.01.05	16:00:00	1.05302	1.05506	1.05275	1.05442	9739	7920747000	8
2017.01.05	17:00:00	1.05449	1.06086	1.05358	1.06024	14603	11624943000	8
2017.01.05	18:00:00	1.06022	1.06149	1.05855	1.05983	12193	9396023000	7
2017.01.05	19:00:00	1.05984	1.06008	1.05914	1.05978	5463	4122474000	8
2017.01.05	20:00:00	1.05978	1.06069	1.05903	1.05994	4887	4047532000	8
2017.01.05	21:00:00	1.05997	1.06006	1.05866	1.05914	4432	4165013000	8
2017.01.05	22:00:00	1.05914	1.05990	1.05883	1.05987	4179	4146677000	9
2017.01.05	23:00:00	1.05986	1.06095	1.05986	1.06056	2643	2428297000	12
2017.01.06	00:00:00	1.06053	1.06074	1.05979	1.06014	1564	1068354000	32
2017.01.06	01:00:00	1.06019	1.06127	1.06019	1.06036	4801	3169790000	12
2017.01.06	02:00:00	1.06037	1.06068	1.05850	1.05899	6603	5297645000	10
2017.01.06	03:00:00	1.05899	1.05912	1.05754	1.05832	7118	6137537000	10
2017.01.06	04:00:00	1.05831	1.05930	1.05791	1.05869	5666	5738183000	10
2017.01.06	05:00:00	1.05869	1.05919	1.05797	1.05882	3823	3539700000	10
2017.01.06	06:00:00	1.05881	1.05908	1.05777	1.05801	3723	3714380000	9
2017.01.06	07:00:00	1.05801	1.05828	1.05762	1.05822	4296	4719625000	10
2017.01.06	08:00:00	1.05822	1.05877	1.05746	1.05783	4770	4776365000	9
2017.01.06	09:00:00	1.05784	1.05902	1.05738	1.05838	6046	5173913000	9
2017.01.06	10:00:00	1.05838	1.05975	1.05808	1.05932	5977	4418536000	9
2017.01.06	11:00:00	1.05932	1.06085	1.05863	1.06002	6380	4601488000	9
2017.01.06	12:00:00	1.06003	1.06073	1.05893	1.06057	5453	3563128000	8
2017.01.06	13:00:00	1.06057	1.06058	1.05833	1.05858	5211	3789719000	9
2017.01.06	14:00:00	1.05857	1.05863	1.05703	1.05794	5764	4476527000	8
2017.01.06	15:00:00	1.05796	1.06207	1.05390	1.05433	16601	11429893000	8
2017.01.06	16:00:00	1.05435	1.05687	1.05351	1.05573	12666	8849542000	8
2017.01.06	17:00:00	1.05575	1.05826	1.05486	1.05725	10272	7742579000	8
2017.01.06	18:00:00	1.05726	1.05821	1.05507	1.05585	8550	6571858000	8
2017.01.06	19:00:00	1.05585	1.05616	1.05353	1.05494	5715	5324598000	9
2017.01.06	20:00:00	1.05494	1.05517	1.05249	1.05254	4741	4438945000	9
2017.01.06	21:00:00	1.05253	1.05339	1.05247	1.05308	4373	4421454000	9
2017.01.06	22:00:00	1.05309	1.05351	1.05273	1.05339	3383	3019107000	10
2017.01.06	23:00:00	1.05338	1.05349	1.05292	1.05307	2303	2101286000	19
2017.01.09	00:00:00	1.05305	1.05334	1.05281	1.05321	626	80750000	50
2017.01.09	01:00:00	1.05320	1.05355	1.05255	1.05290	3104	2001438000	12
2017.01.09	02:00:00	1.05291	1.05356	1.05219	1.05348	3934	3334726000	10
2017.01.09	03:00:00	1.05347	1.05441	1.05341	1.05416	4220	3814084000	11
2017.01.09	04:00:00	1.05416	1.05421	1.05321	1.05321	3193	2740218000	9
2017.01.09	05:00:00	1.05321	1.05344	1.05259	1.05294	3105	2925556000	9
2017.01.09	06:00:00	1.05297	1.05297	1.05232	1.05261	2916	2817059000	9
2017.01.09	07:00:00	1.05260	1.05318	1.05161	1.05234	4264	4146524000	9
2017.01.09	08:00:00	1.05237	1.05362	1.05188	1.05321	3731	3434841000	9
2017.01.09	09:00:00	1.05321	1.05407	1.05288	1.05369	6125	5431826000	8
2017.01.09	10:00:00	1.05369	1.05557	1.05341	1.05477	7841	5933424000	9
2017.01.09	11:00:00	1.05476	1.05517	1.05231	1.05240	8518	6029321000	8
2017.01.09	12:00:00	1.05238	1.05251	1.05104	1.05178	7194	5848285000	9
2017.01.09	13:00:00	1.05179	1.05323	1.05121	1.05240	8352	6246879000	9
2017.01.09	14:00:00	1.05240	1.05310	1.05197	1.05218	6089	4092561000	9
2017.01.09	15:00:00	1.05216	1.05415	1.05122	1.05344	8521	5736183000	8
2017.01.09	16:00:00	1.05341	1.05484	1.05243	1.05302	9257	6164312000	8
2017.01.09	17:00:00	1.05302	1.05635	1.05280	1.05548	8368	6036971000	8
2017.01.09	18:00:00	1.05550	1.05826	1.05541	1.05749	8359	6484653000	8
2017.01.09	19:00:00	1.05749	1.05783	1.05610	1.05702	4655	4112989000	9
2017.01.09	20:00:00	1.05702	1.05773	1.05631	1.05637	3330	3336112000	9
2017.01.09	21:00:00	1.05637	1.05778	1.05620	1.05773	3188	3468377000	9
2017.01.09	22:00:00	1.05777	1.05779	1.05574	1.05685	4221	4140425000	9
2017.01.09	23:00:00	1.05685	1.05743	1.05666	1.05711	2043	1572452000	10
2017.01.10	00:00:00	1.05733	1.05880	1.05701	1.05835	2040	1310477000	36
2017.01.10	01:00:00	1.05837	1.05887	1.05822	1.05855	4065	2602540000	11
2017.01.10	02:00:00	1.05855	1.05992	1.05837	1.05895	5026	4215403000	10
2017.01.10	03:00:00	1.05897	1.05947	1.05754	1.05784	5442	4498978000	9
2017.01.10	04:00:00	1.05784	1.06114	1.05756	1.06067	8107	6602865000	9
2017.01.10	05:00:00	1.06064	1.06268	1.06041	1.06155	8084	5710339000	9
2017.01.10	06:00:00	1.06154	1.06189	1.06068	1.06078	5417	4199764000	10
2017.01.10	07:00:00	1.06079	1.06138	1.06025	1.06092	5321	4089213000	10
2017.01.10	08:00:00	1.06088	1.06155	1.05932	1.05949	5123	3425751000	9
2017.01.10	09:00:00	1.05949	1.06031	1.05890	1.05978	6946	5140866000	8
2017.01.10	10:00:00	1.05977	1.06198	1.05866	1.06036	10176	7483117000	8
2017.01.10	11:00:00	1.06035	1.06064	1.05898	1.05961	7531	5417676000	8
2017.01.10	12:00:00	1.05963	1.05998	1.05798	1.05910	6872	5130123000	8
2017.01.10	13:00:00	1.05910	1.05910	1.05769	1.05779	5562	4451451000	9
2017.01.10	14:00:00	1.05780	1.05847	1.05620	1.05683	7899	5760860000	7
2017.01.10	15:00:00	1.05683	1.05764	1.05583	1.05744	7776	6134330000	8
2017.01.10	16:00:00	1.05744	1.06046	1.05691	1.05951	9256	7153866000	7
2017.01.10	17:00:00	1.05950	1.06021	1.05708	1.05931	9654	7170603000	7
2017.01.10	18:00:00	1.05931	1.05978	1.05677	1.05715	8557	7253070000	8
2017.01.10	19:00:00	1.05715	1.05751	1.05506	1.05608	5889	5418988000	8
2017.01.10	20:00:00	1.05607	1.05642	1.05558	1.05583	4123	3790538000	9
2017.01.10	21:00:00	1.05582	1.05628	1.05548	1.05578	3855	3632624000	10
2017.01.10	22:00:00	1.05577	1.05620	1.05557	1.05613	2566	2338982000	9
2017.01.10	23:00:00	1.05615	1.05615	1.05534	1.05542	2185	1944445000	11
2017.01.11	00:00:00	1.05532	1.05607	1.05525	1.05557	1431	661229000	17
2017.01.11	01:00:00	1.05557	1.05559	1.05506	1.05519	2562	1867608000	11
2017.01.11	02:00:00	1.05518	1.05629	1.05509	1.05574	4260	3787464000	10
2017.01.11	03:00:00	1.05574	1.05656	1.05493	1.05577	4979	3532335000	9
2017.01.11	04:00:00	1.05577	1.05603	1.05423	1.05459	5293	4906405000	9
2017.01.11	05:00:00	1.05458	1.05496	1.05359	1.05449	5244	5070488000	8
2017.01.11	06:00:00	1.05450	1.05504	1.05403	1.05500	4386	3659271000	9
2017.01.11	07:00:00	1.05500	1.05522	1.05454	1.05494	3989	3460030000	9
2017.01.11	08:00:00	1.05492	1.05665	1.05492	1.05622	4652	4530957000	9
2017.01.11	09:00:00	1.05621	1.05629	1.05526	1.05578	5651	5145197000	9
2017.01.11	10:00:00	1.05579	1.05593	1.05457	1.05575	6577	4838630000	8
2017.01.11	11:00:00	1.05576	1.05584	1.05300	1.05348	6385	4843651000	9
2017.01.11	12:00:00	1.05349	1.05358	1.05153	1.05219	6344	4731458000	9
2017.01.11	13:00:00	1.05219	1.05247	1.05130	1.05187	5628	4446233000	9
2017.01.11	14:00:00	1.05187	1.05203	1.04996	1.05013	7587	6147933000	8
2017.01.11	15:00:00	1.05015	1.05151	1.04937	1.05127	8162	6400134000	8
2017.01.11	16:00:00	1.05127	1.05153	1.04775	1.04806	9899	7468469000	8
2017.01.11	17:00:00	1.04809	1.04818	1.04534	1.04737	11979	9399723000	8
2017.01.11	18:00:00	1.04739	1.05408	1.04579	1.04986	18653	13206858000	8
2017.01.11	19:00:00	1.04986	1.05722	1.04725	1.05580	17563	14162597000	7
2017.01.11	20:00:00	1.05582	1.06226	1.05542	1.06031	19104	15466400000	9
2017.01.11	21:00:00	1.06035	1.06136	1.05702	1.05762	10696	9169662000	9
2017.01.11	22:00:00	1.05761	1.05776	1.05637	1.05724	6733	7092316000	10
2017.01.11	23:00:00	1.05724	1.05843	1.05724	1.05818	3063	3056058000	11
2017.01.12	00:00:00	1.05799	1.05838	1.05770	1.05828	1824	1037089000	51
2017.01.12	01:00:00	1.05831	1.05987	1.05772	1.05938	3726	2760045000	12
2017.01.12	02:00:00	1.05938	1.05967	1.05710	1.05815	6169	4536775000	10
2017.01.12	03:00:00	1.05813	1.05926	1.05754	1.05835	6390	5006034000	10
2017.01.12	04:00:00	1.05834	1.06094	1.05823	1.05983	7495	5780043000	11
2017.01.12	05:00:00	1.05983	1.06134	1.05936	1.06109	6240	5397872000	10
2017.01.12	06:00:00	1.06108	1.06124	1.05981	1.05994	5371	5398694000	11
2017.01.12	07:00:00	1.05994	1.06109	1.05945	1.06107	4543	4266864000	10
2017.01.12	08:00:00	1.06107	1.06382	1.06045	1.06373	6919	5535520000	10
2017.01.12	09:00:00	1.06370	1.06427	1.06270	1.06291	9104	7012127000	9
2017.01.12	10:00:00	1.06291	1.06642	1.06270	1.06429	12559	9473852000	8
2017.01.12	11:00:00	1.06429	1.06448	1.06272	1.06406	10243	7905079000	9
2017.01.12	12:00:00	1.06405	1.06425	1.06194	1.06378	8401	6393582000	8
2017.01.12	13:00:00	1.06378	1.06520	1.06369	1.06515	7205	5319049000	8
2017.01.12	14:00:00	1.06517	1.06844	1.06511	1.06742	9910	6469703000	8
2017.01.12	15:00:00	1.06743	1.06821	1.06429	1.06523	11240	8227645000	8
2017.01.12	16:00:00	1.06522	1.06587	1.06325	1.06582	11237	7771301000	8
2017.01.12	17:00:00	1.06583	1.06752	1.06371	1.06522	12874	9280148000	8
2017.01.12	18:00:00	1.06522	1.06673	1.06476	1.06652	10799	8218710000	9
2017.01.12	19:00:00	1.06652	1.06685	1.06452	1.06481	6854	5406745000	9
2017.01.12	20:00:00	1.06481	1.06514	1.06301	1.06414	7388	6144282000	8
2017.01.12	21:00:00	1.06414	1.06423	1.06211	1.06261	6171	4368527000	9
2017.01.12	22:00:00	1.06260	1.06288	1.06103	1.06229	5819	4969498000	10
2017.01.12	23:00:00	1.06227	1.06246	1.06110	1.06118	2200	2027860000	11
2017.01.13	00:00:00	1.06122	1.06184	1.06109	1.06116	1916	1058773000	45
2017.01.13	01:00:00	1.06116	1.06159	1.06060	1.06159	3694	2322582000	12
2017.01.13	02:00:00	1.06152	1.06176	1.06045	1.06090	4533	3248034000	11
2017.01.13	03:00:00	1.06090	1.06192	1.06078	1.06157	4911	3736488000	10
2017.01.13	04:00:00	1.06158	1.06186	1.06034	1.06049	4441	3649655000	10
2017.01.13	05:00:00	1.06051	1.06118	1.06036	1.06075	4069	3988302000	10
2017.01.13	06:00:00	1.06075	1.06174	1.06051	1.06170	3181	2988419000	11
2017.01.13	07:00:00	1.06170	1.06170	1.06120	1.06168	3003	3006466000	9
2017.01.13	08:00:00	1.06167	1.06298	1.06140	1.06290	4908	4546377000	9
2017.01.13	09:00:00	1.06290	1.06406	1.06236	1.06308	7286	5451682000	9
